Name,Cc,Ccn,Mc,Mcn,Trn,P,Pn,Cs,Ms,Ts,Ps
S1,4,5,13,17,73,61,73,3,3,1,1
S2,20,27,12,15,100,84,100,3,3,1,1
S3,69,93,33,41,29,33,39,1,2,2,2
S4,41,55,16,19,71,62,74,2,3,1,1
S5,1,1,13,17,29,26,30,3,3,2,2
S6,35,48,7,9,81,68,81,2,3,1,1
S7,31,42,0,0,7,7,8,2,3,3,3
S8,7,9,13,16,29,26,31,3,3,2,2
S9,14,19,32,40,29,30,36,3,2,2,2
S10,43,58,18,23,7,11,13,2,3,3,3
S11,22,30,12,15,74,63,75,3,3,1,1
S12,30,41,12,15,74,63,76,2,3,1,1
S13,7,10,10,13,74,62,74,3,3,1,1
S14,74,100,5,6,0,5,5,1,3,3,3
S15,36,48,15,18,0,5,5,2,3,3,3
S16,5,7,3,3,0,1,0,3,3,3,3
S17,46,63,27,33,36,37,43,2,2,2,2
S18,16,22,14,17,8,10,11,3,3,3,3
S19,35,48,81,100,15,30,35,2,1,3,2
S20,0,0,10,13,8,8,9,3,3,3,3
S21,12,16,3,4,95,78,93,3,3,1,1
S22,21,29,16,20,9,11,13,3,3,3,3
S23,37,50,18,23,79,70,83,2,3,1,1
S24,69,93,19,24,0,7,8,1,3,3,3
S25,0,0,6,8,1,2,2,3,3,3,3
S26,16,22,25,31,81,71,84,3,2,1,1
S27,65,88,34,42,21,27,32,1,2,2,2
S28,50,68,77,96,71,75,89,2,1,1,1
S29,27,36,34,42,1,9,10,2,2,3,3
S30,13,18,33,41,1,8,9,3,2,3,3
