Name,PDS,CC,EJ,PDSn,CCn,EJn
S1,28,5,2,49,6,3
S2,15,12,4,22,16,8
S3,38,24,9,69,31,22
S4,9,5,8,10,6,19
S5,16,21,4,24,27,8
S6,18,6,1,29,8,0
S7,4,0,1,0,0,0
S8,7,19,6,6,25,14
S9,11,5,16,14,6,42
S10,30,36,2,53,47,3
S11,12,7,5,16,9,11
S12,5,20,6,2,26,14
S13,8,7,5,8,9,11
S14,8,11,2,8,14,3
S15,31,3,2,55,4,3
S16,5,1,2,2,1,3
S17,34,2,8,61,3,19
S18,12,6,6,16,8,14
S19,53,77,27,100,100,72
S20,10,2,5,12,3,11
S21,9,7,1,10,9,0
S22,6,18,8,4,23,19
S23,9,9,9,10,12,22
S24,17,3,8,27,4,19
S25,7,7,3,6,9,6
S26,30,30,6,53,39,14
S27,25,28,12,43,36,31
S28,16,29,37,24,38,100
S29,13,28,15,18,36,39
S30,7,16,17,6,21,44
